ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,HJD_CODE,X,Y
8941E2A3A0,서울특별시 성동구 마장동,광*,,서울 성동구,축산물,,20090304,,1120054000.0,204004.39999997415,451872.4000000039
D5CFCB32BA,서울특별시 성동구 마장동,희망**,,서울 성동구,축산물,,20110720,,1120054000.0,204004.39999997415,451872.4000000039
319880C87E,서울특별시 성동구 마장동,한일**,,서울 성동구,축산물,마장동,20120312,,1120054000.0,204004.39999997415,451872.4000000039
A6277E8E47,서울특별시 성동구 마장동,세계**,,서울 성동구,축산물,마장동,20120911,,1120054000.0,204004.39999997415,451872.4000000039
57AEEDF72B,서울특별시 성동구 마장동,파리**********,베이커리10,서울 성동구,베이커리,마장동,20110112,,1120054000.0,204004.39999997415,451872.4000000039
99730CC7C5,서울특별시 성동구 마장동,진*,,서울 성동구,요리주점,왕십리,20000420,,1120054000.0,204004.39999997415,451872.4000000039
1900B33A12,서울특별시 성동구 마장동,삼대**,한식-냉면1,서울 성동구,한식-냉면,,20081008,,1120054000.0,204004.39999997415,451872.4000000039
112C9E0C52,서울특별시 성동구 마장동,대구*,,서울 성동구,백반/가정식,마장동,20140211,,1120054000.0,204004.39999997415,451872.4000000039
87569153FF,서울특별시 성동구 마장동,원조***,,서울 성동구,한식-육류/고기,,20050201,,1120054000.0,204004.39999997415,451872.4000000039
AC6B3827B8,서울특별시 성동구 마장동,훈희***,,서울 성동구,한식-육류/고기,마장동,20090122,,1120054000.0,204004.39999997415,451872.4000000039
8425C2D133,서울특별시 성동구 마장동,몽실******,,서울 성동구,한식-육류/고기,마장동,20110506,,1120054000.0,204004.39999997415,451872.4000000039
21C4BDD140,서울특별시 성동구 마장동,순대**,,서울 성동구,한식-국밥/설렁탕,마장동,20051223,,1120054000.0,204004.39999997415,451872.4000000039
11B0AA1C3B,서울특별시 성동구 마장동,동원**,,서울 성동구,한식-단품요리일반,왕십리,20011022,,1120054000.0,204004.39999997415,451872.4000000039
E6AE130DD5,서울특별시 성동구 마장로,마장*****,,서울 성동구,한식-육류/고기,,20111109,,1120053500.0,202648.02000003634,451917.7200000198
E6AE130DD5,서울특별시 성동구 마장로,마장*****,,서울 성동구,한식-육류/고기,,20111109,,1120053500.0,202648.02000003634,451917.7200000198
EE8D458B93,서울특별시 성동구 무학로,와이***********,,서울 성동구,축산물,,20121109,,1120053500.0,202660.67999999883,451938.00000001607
EE8D458B93,서울특별시 성동구 무학로,와이***********,,서울 성동구,축산물,,20121109,,1120053500.0,202660.67999999883,451938.00000001607
1F5C564B04,서울특별시 성동구 상원길,맛드*,,서울 성동구,반찬,뚝섬,20130410,,1120066000.0,204280.86000003785,449816.770000022
1F5C564B04,서울특별시 성동구 상원길,맛드*,,서울 성동구,반찬,뚝섬,20130410,,1120066000.0,204280.86000003785,449816.770000022
69EE47A25B,서울특별시 성동구 상원길,피자********,피자8,서울 성동구,피자,뚝섬,20121231,,1120066000.0,204280.86000003785,449816.770000022
69EE47A25B,서울특별시 성동구 상원길,피자********,피자8,서울 성동구,피자,뚝섬,20121231,,1120066000.0,204280.86000003785,449816.770000022
6E87D8EF74,서울특별시 성동구 상원길,담바*,,서울 성동구,한식-육류/고기,뚝섬,20140318,,1120066000.0,204280.86000003785,449816.770000022
6E87D8EF74,서울특별시 성동구 상원길,담바*,,서울 성동구,한식-육류/고기,뚝섬,20140318,,1120066000.0,204280.86000003785,449816.770000022
82F292A867,서울특별시 성동구 송정동,델리**,,서울 성동구,식료품,,20090904,,1120072000.0,206147.2000000149,450558.79999999853
82F292A867,서울특별시 성동구 송정동,델리**,,서울 성동구,식료품,,20090904,,1120072000.0,206147.2000000149,450558.79999999853
BDEBB09D4F,서울특별시 성동구 송정동,본토****,,서울 성동구,한식-육류/고기,,20100817,,1120072000.0,206147.2000000149,450558.79999999853
BDEBB09D4F,서울특별시 성동구 송정동,본토****,,서울 성동구,한식-육류/고기,,20100817,,1120072000.0,206147.2000000149,450558.79999999853
9D085B6A2F,서울특별시 성동구 용답동,동부**,,서울 성동구,백반/가정식,장한평자동차,20110329,,1120079000.0,204910.40000003157,451617.2000000037
9D085B6A2F,서울특별시 성동구 용답동,동부**,,서울 성동구,백반/가정식,장한평자동차,20110329,,1120079000.0,204910.40000003157,451617.2000000037
6D8F7BBA89,서울특별시 성동구 용답동,고향**,,서울 성동구,한식-단품요리일반,장한평자동차,20030421,,1120079000.0,204910.40000003157,451617.2000000037
6D8F7BBA89,서울특별시 성동구 용답동,고향**,,서울 성동구,한식-단품요리일반,장한평자동차,20030421,,1120079000.0,204910.40000003157,451617.2000000037
5B646D947B,서울특별시 성동구 응봉동,풀무*********,식료품3,서울 성동구,식료품,,20120608,,1120058000.0,202952.80000003416,450404.799999997
5B646D947B,서울특별시 성동구 응봉동,풀무*********,식료품3,서울 성동구,식료품,,20120608,,1120058000.0,202952.80000003416,450404.799999997
875116B12A,서울특별시 성동구 응봉동,단아**,,서울 성동구,떡/한과 제조,,20070417,,1120058000.0,202952.80000003416,450404.799999997
875116B12A,서울특별시 성동구 응봉동,단아**,,서울 성동구,떡/한과 제조,,20070417,,1120058000.0,202952.80000003416,450404.799999997
21752D89FB,서울특별시 성동구 행당동,영*,,서울 성동구,건강식품,행당,20090316,,1120056000.0,203271.9999999935,450976.00000000506
21752D89FB,서울특별시 성동구 행당동,영*,,서울 성동구,건강식품,행당,20090316,,1120056000.0,203271.9999999935,450976.00000000506
80E637212D,서울특별시 성동구 행당동,에스******,,서울 성동구,커피전문점,행당,20110808,,1120056000.0,203271.9999999935,450976.00000000506
80E637212D,서울특별시 성동구 행당동,에스******,,서울 성동구,커피전문점,행당,20110808,,1120056000.0,203271.9999999935,450976.00000000506
CEF3D93273,서울특별시 성동구 행당동,종로**,,서울 성동구,떡/한과 제조,행당,20061026,,1120056000.0,203271.9999999935,450976.00000000506
CEF3D93273,서울특별시 성동구 행당동,종로**,,서울 성동구,떡/한과 제조,행당,20061026,,1120056000.0,203271.9999999935,450976.00000000506
33361C935B,서울특별시 성동구 행당동,만두**,,서울 성동구,한식-국수/만두,행당,20101112,,1120056000.0,203271.9999999935,450976.00000000506
33361C935B,서울특별시 성동구 행당동,만두**,,서울 성동구,한식-국수/만두,행당,20101112,,1120056000.0,203271.9999999935,450976.00000000506
E1C897591D,서울특별시 성동구 행당동,코페*,,서울 성동구,한식-단품요리일반,한양대,20061023,,1120056000.0,203271.9999999935,450976.00000000506
E1C897591D,서울특별시 성동구 행당동,코페*,,서울 성동구,한식-단품요리일반,한양대,20061023,,1120056000.0,203271.9999999935,450976.00000000506
1F7ECE7D49,서울특별시 성동구 행당동,아폴*********,,서울 성동구,한식-단품요리일반,왕십리,20110105,,1120056000.0,203271.9999999935,450976.00000000506
1F7ECE7D49,서울특별시 성동구 행당동,아폴*********,,서울 성동구,한식-단품요리일반,왕십리,20110105,,1120056000.0,203271.9999999935,450976.00000000506
25D2E98F3A,서울특별시 성동구 행당동,무탁****,,서울 성동구,한식-단품요리일반,왕십리,20111107,,1120056000.0,203271.9999999935,450976.00000000506
25D2E98F3A,서울특별시 성동구 행당동,무탁****,,서울 성동구,한식-단품요리일반,왕십리,20111107,,1120056000.0,203271.9999999935,450976.00000000506
66A39F4442,서울특별시 성동구 홍익동,정은****,,서울 성동구,한식-육류/고기,왕십리,20100408,,1120053500.0,202845.99999999712,451869.2000000023
66A39F4442,서울특별시 성동구 홍익동,정은****,,서울 성동구,한식-육류/고기,왕십리,20100408,,1120053500.0,202845.99999999712,451869.2000000023
3E96264C22,서울특별시 성동구 홍익동,맛나**,,서울 성동구,한식-찌개/전골,왕십리,20060216,,1120053500.0,202845.99999999712,451869.2000000023
3E96264C22,서울특별시 성동구 홍익동,맛나**,,서울 성동구,한식-찌개/전골,왕십리,20060216,,1120053500.0,202845.99999999712,451869.2000000023
C1C06DF70A,서울특별시 성동구 마조로 9,설빙****,아이스크림/빙수2,서울 성동구,아이스크림/빙수,한양대,20140623,,1120055000.0,203583.2500000008,451020.8700000263
C1C06DF70A,서울특별시 성동구 마조로 9,설빙****,아이스크림/빙수2,서울 성동구,아이스크림/빙수,한양대,20140623,,1120055000.0,203583.2500000008,451020.8700000263
8ABD74319E,서울특별시 성동구 무학로 8,70******,,서울 성동구,룸살롱/단란주점,,20151116,,1120053500.0,202694.32999998558,451693.0200000175
8ABD74319E,서울특별시 성동구 무학로 8,70******,,서울 성동구,룸살롱/단란주점,,20151116,,1120053500.0,202694.32999998558,451693.0200000175
8749D150F3,서울특별시 성동구 상원6길,오가******,,서울 성동구,한식-해물/생선,뚝섬,20111103,,1120066000.0,204355.61000001733,449924.3600000253
8749D150F3,서울특별시 성동구 상원6길,오가******,,서울 성동구,한식-해물/생선,뚝섬,20111103,,1120066000.0,204355.61000001733,449924.3600000253
5BE883AA16,서울특별시 성동구 옥수2동,극동*****,,서울 성동구,축산물,,19941128,,1120064500.0,201187.60000004238,449341.9999999964
5BE883AA16,서울특별시 성동구 옥수2동,극동*****,,서울 성동구,축산물,,19941128,,1120064500.0,201187.60000004238,449341.9999999964
94C8165F35,서울특별시 성동구 옥수2동,전주*******,,서울 성동구,백반/가정식,옥수,19981207,,1120064500.0,201187.60000004238,449341.9999999964
94C8165F35,서울특별시 성동구 옥수2동,전주*******,,서울 성동구,백반/가정식,옥수,19981207,,1120064500.0,201187.60000004238,449341.9999999964
ED815EC186,서울특별시 성동구 옥수2동,양지***,,서울 성동구,한식-육류/고기,옥수,20000607,,1120064500.0,201187.60000004238,449341.9999999964
ED815EC186,서울특별시 성동구 옥수2동,양지***,,서울 성동구,한식-육류/고기,옥수,20000607,,1120064500.0,201187.60000004238,449341.9999999964
FBDA2A8798,서울특별시 성동구 옥수2동,장군**,,서울 성동구,한식-육류/고기,옥수,20021109,,1120064500.0,201187.60000004238,449341.9999999964
FBDA2A8798,서울특별시 성동구 옥수2동,장군**,,서울 성동구,한식-육류/고기,옥수,20021109,,1120064500.0,201187.60000004238,449341.9999999964
147235F3A5,서울특별시 성동구 옥수2동,돈까*,,서울 성동구,일식-덮밥/돈가스,옥수,20070314,,1120064500.0,201187.60000004238,449341.9999999964
147235F3A5,서울특별시 성동구 옥수2동,돈까*,,서울 성동구,일식-덮밥/돈가스,옥수,20070314,,1120064500.0,201187.60000004238,449341.9999999964
167F268F8E,서울특별시 성동구 행당1동,돔카*,,서울 성동구,카페,왕십리,20110525,,1120056000.0,203198.80000003573,450997.9999999982
167F268F8E,서울특별시 성동구 행당1동,돔카*,,서울 성동구,카페,왕십리,20110525,,1120056000.0,203198.80000003573,450997.9999999982
7C3795DF2D,서울특별시 성동구 행당1동,한양***********,,서울 성동구,식료품,한양대,20090311,,1120056000.0,203198.80000003573,450997.9999999982
7C3795DF2D,서울특별시 성동구 행당1동,한양***********,,서울 성동구,식료품,한양대,20090311,,1120056000.0,203198.80000003573,450997.9999999982
E9EB56D7EC,서울특별시 성동구 행당1동,한양***,,서울 성동구,한식-육류/고기,한양대,20100719,,1120056000.0,203198.80000003573,450997.9999999982
E9EB56D7EC,서울특별시 성동구 행당1동,한양***,,서울 성동구,한식-육류/고기,한양대,20100719,,1120056000.0,203198.80000003573,450997.9999999982
55B4F11C0E,서울특별시 성동구 행당2동,김밥**,,서울 성동구,분식,행당,20101011,,1120057000.0,202592.40000001565,450971.2000000012
55B4F11C0E,서울특별시 성동구 행당2동,김밥**,,서울 성동구,분식,행당,20101011,,1120057000.0,202592.40000001565,450971.2000000012
C75AC23756,서울특별시 성동구 행당2동,대림****,,서울 성동구,축산물,행당,20000627,,1120057000.0,202592.40000001565,450971.2000000012
C75AC23756,서울특별시 성동구 행당2동,대림****,,서울 성동구,축산물,행당,20000627,,1120057000.0,202592.40000001565,450971.2000000012
4DEDE7CD03,서울특별시 성동구 금호동2가,닭한*****,,서울 성동구,한식-육류/고기,신금호,20041102,,1120061500.0,201803.20000002754,450386.0000000013
4DEDE7CD03,서울특별시 성동구 금호동2가,닭한*****,,서울 성동구,한식-육류/고기,신금호,20041102,,1120061500.0,201803.20000002754,450386.0000000013
8F1003CA95,서울특별시 성동구 금호동3가,귀일**,,서울 성동구,분식,금남시장,20160315,,1120061500.0,201782.0000000037,450046.0000000018
8F1003CA95,서울특별시 성동구 금호동3가,귀일**,,서울 성동구,분식,금남시장,20160315,,1120061500.0,201782.0000000037,450046.0000000018
04BACBFB49,서울특별시 성동구 금호로 56,해장***,,서울 성동구,백반/가정식,금남시장,20070125,,1120059000.0,202299.9499999787,449878.94000002206
04BACBFB49,서울특별시 성동구 금호로 56,해장***,,서울 성동구,백반/가정식,금남시장,20070125,,1120059000.0,202299.9499999787,449878.94000002206
5946F40892,서울특별시 성동구 금호로 62,교촌******,치킨6,서울 성동구,치킨,금남시장,20130325,,1120059000.0,202306.5800000177,449925.9600000247
5946F40892,서울특별시 성동구 금호로 62,교촌******,치킨6,서울 성동구,치킨,금남시장,20130325,,1120059000.0,202306.5800000177,449925.9600000247
17FF425166,서울특별시 성동구 금호로 66,광주**,,서울 성동구,한식-해물/생선,,20020708,,1120059000.0,202318.97999999093,449973.58000002324
17FF425166,서울특별시 성동구 금호로 66,광주**,,서울 성동구,한식-해물/생선,,20020708,,1120059000.0,202318.97999999093,449973.58000002324
AB0716250B,서울특별시 성동구 동일로 83,와규**,,서울 성동구,한식-육류/고기,,20080515,,1120069000.0,205535.23000002938,448985.4300000243
AB0716250B,서울특별시 성동구 동일로 83,와규**,,서울 성동구,한식-육류/고기,,20080515,,1120069000.0,205535.23000002938,448985.4300000243
E9D4FB94A0,서울특별시 성동구 동일로 83,참나*****,,서울 성동구,한식-단품요리일반,,20100223,,1120069000.0,205535.23000002938,448985.4300000243
E9D4FB94A0,서울특별시 성동구 동일로 83,참나*****,,서울 성동구,한식-단품요리일반,,20100223,,1120069000.0,205535.23000002938,448985.4300000243
149BA1B7C7,서울특별시 성동구 마조로 11,써브******,샌드위치/토스트2,서울 성동구,샌드위치/토스트,한양대,20020121,,1120055000.0,203592.9400000228,451046.18000001495
149BA1B7C7,서울특별시 성동구 마조로 11,써브******,샌드위치/토스트2,서울 성동구,샌드위치/토스트,한양대,20020121,,1120055000.0,203592.9400000228,451046.18000001495
2AECA02B3A,서울특별시 성동구 마조로 17,대*,,서울 성동구,축산물,한양대,20020430,,1120055000.0,203575.7200000114,451114.84000002325
2AECA02B3A,서울특별시 성동구 마조로 17,대*,,서울 성동구,축산물,한양대,20020430,,1120055000.0,203575.7200000114,451114.84000002325
2AECA02B3A,서울특별시 성동구 마조로 17,대*,,서울 성동구,축산물,한양대,20020430,,1120055000.0,203575.7200000114,451114.84000002325
2AECA02B3A,서울특별시 성동구 마조로 17,대*,,서울 성동구,축산물,한양대,20020430,,1120055000.0,203575.7200000114,451114.84000002325
11A66B8033,서울특별시 성동구 마조로 17,돼지*,,서울 성동구,한식-육류/고기,한양대,20020321,,1120055000.0,203575.7200000114,451114.84000002325
11A66B8033,서울특별시 성동구 마조로 17,돼지*,,서울 성동구,한식-육류/고기,한양대,20020321,,1120055000.0,203575.7200000114,451114.84000002325
11A66B8033,서울특별시 성동구 마조로 17,돼지*,,서울 성동구,한식-육류/고기,한양대,20020321,,1120055000.0,203575.7200000114,451114.84000002325
11A66B8033,서울특별시 성동구 마조로 17,돼지*,,서울 성동구,한식-육류/고기,한양대,20020321,,1120055000.0,203575.7200000114,451114.84000002325
CE3D519C06,서울특별시 성동구 마조로 17,장어**,,서울 성동구,한식-해물/생선,한양대,20090617,,1120055000.0,203575.7200000114,451114.84000002325
CE3D519C06,서울특별시 성동구 마조로 17,장어**,,서울 성동구,한식-해물/생선,한양대,20090617,,1120055000.0,203575.7200000114,451114.84000002325
CE3D519C06,서울특별시 성동구 마조로 17,장어**,,서울 성동구,한식-해물/생선,한양대,20090617,,1120055000.0,203575.7200000114,451114.84000002325
CE3D519C06,서울특별시 성동구 마조로 17,장어**,,서울 성동구,한식-해물/생선,한양대,20090617,,1120055000.0,203575.7200000114,451114.84000002325
03A222EE9D,서울특별시 성동구 마조로 17,놀란*,,서울 성동구,한식-단품요리일반,한양대,20140609,,1120055000.0,203575.7200000114,451114.84000002325
03A222EE9D,서울특별시 성동구 마조로 17,놀란*,,서울 성동구,한식-단품요리일반,한양대,20140609,,1120055000.0,203575.7200000114,451114.84000002325
03A222EE9D,서울특별시 성동구 마조로 17,놀란*,,서울 성동구,한식-단품요리일반,한양대,20140609,,1120055000.0,203575.7200000114,451114.84000002325
03A222EE9D,서울특별시 성동구 마조로 17,놀란*,,서울 성동구,한식-단품요리일반,한양대,20140609,,1120055000.0,203575.7200000114,451114.84000002325
946BE40BF1,서울특별시 성동구 마조로 25,토리********,,서울 성동구,일식당,한양대,20150911,,1120055000.0,203616.64000002432,451170.8800000223
946BE40BF1,서울특별시 성동구 마조로 25,토리********,,서울 성동구,일식당,한양대,20150911,,1120055000.0,203616.64000002432,451170.8800000223
B2378AFA3D,서울특별시 성동구 마조로 29,성일***,,서울 성동구,한식-감자탕,한양대,20100217,,1120055000.0,203624.5100000118,451205.09000001557
B2378AFA3D,서울특별시 성동구 마조로 29,성일***,,서울 성동구,한식-감자탕,한양대,20100217,,1120055000.0,203624.5100000118,451205.09000001557
F512DF538E,서울특별시 성동구 마조로 31,맘스*******,햄버거2,서울 성동구,햄버거,한양대,20150831,,1120055000.0,203626.22000004823,451219.55000001844
F512DF538E,서울특별시 성동구 마조로 31,맘스*******,햄버거2,서울 성동구,햄버거,한양대,20150831,,1120055000.0,203626.22000004823,451219.55000001844
C2207433F7,서울특별시 성동구 마조로 33,한솥***********,도시락3,서울 성동구,도시락,한양대,20100712,,1120055000.0,203630.60000001788,451236.1500000253
C2207433F7,서울특별시 성동구 마조로 33,한솥***********,도시락3,서울 성동구,도시락,한양대,20100712,,1120055000.0,203630.60000001788,451236.1500000253
9350A78BD7,서울특별시 성동구 마조로 33,동방***,,서울 성동구,꼬치구이,한양대,20140721,,1120055000.0,203630.60000001788,451236.1500000253
9350A78BD7,서울특별시 성동구 마조로 33,동방***,,서울 성동구,꼬치구이,한양대,20140721,,1120055000.0,203630.60000001788,451236.1500000253
661C7C734C,서울특별시 성동구 마조로 35,크로*******,,서울 성동구,베이커리,한양대,20020925,,1120055000.0,203637.51999997586,451260.67000002135
661C7C734C,서울특별시 성동구 마조로 35,크로*******,,서울 성동구,베이커리,한양대,20020925,,1120055000.0,203637.51999997586,451260.67000002135
661C7C734C,서울특별시 성동구 마조로 35,크로*******,,서울 성동구,베이커리,한양대,20020925,,1120055000.0,203637.51999997586,451260.67000002135
661C7C734C,서울특별시 성동구 마조로 35,크로*******,,서울 성동구,베이커리,한양대,20020925,,1120055000.0,203637.51999997586,451260.67000002135
43CE48A1CD,서울특별시 성동구 마조로 39,스마*,,서울 성동구,분식,한양대,20090303,,1120055000.0,203648.60000002314,451305.9400000191
43CE48A1CD,서울특별시 성동구 마조로 39,스마*,,서울 성동구,분식,한양대,20090303,,1120055000.0,203648.60000002314,451305.9400000191
0E2AE2C4F1,서울특별시 성동구 마조로 7,철*,,서울 성동구,백반/가정식,한양대,20160823,,1120055000.0,203573.4499999807,451007.38000002457
0E2AE2C4F1,서울특별시 성동구 마조로 7,철*,,서울 성동구,백반/가정식,한양대,20160823,,1120055000.0,203573.4499999807,451007.38000002457
7102ACD438,서울특별시 성동구 매봉길 2,인덕***,,서울 성동구,양식,옥수,20180117,,1120064500.0,201500.79999997088,449537.9400000191
7102ACD438,서울특별시 성동구 매봉길 2,인덕***,,서울 성동구,양식,옥수,20180117,,1120064500.0,201500.79999997088,449537.9400000191
F80F79F599,서울특별시 성동구 매봉길 2,파파*****,피자7,서울 성동구,피자,옥수,20051130,,1120064500.0,201500.79999997088,449537.9400000191
F80F79F599,서울특별시 성동구 매봉길 2,파파*****,피자7,서울 성동구,피자,옥수,20051130,,1120064500.0,201500.79999997088,449537.9400000191
FCBC740B1D,서울특별시 성동구 무학로 33,왕십**********,베이커리10,서울 성동구,베이커리,,20160419,,1120053500.0,202327.67000002856,452180.82000001473
FCBC740B1D,서울특별시 성동구 무학로 33,왕십**********,베이커리10,서울 성동구,베이커리,,20160419,,1120053500.0,202327.67000002856,452180.82000001473
D427F7C6AB,서울특별시 성동구 무학로 42,벽산****,,서울 성동구,포장마차,,20091202,,1120053500.0,202682.00999999655,452043.7500000229
D427F7C6AB,서울특별시 성동구 무학로 42,벽산****,,서울 성동구,포장마차,,20091202,,1120053500.0,202682.00999999655,452043.7500000229
7D6F493369,서울특별시 성동구 상원6길 5,춘천***,한식-육류/고기25,서울 성동구,한식-육류/고기,뚝섬,20000318,,1120066000.0,204306.92999998614,449899.9800000177
7D6F493369,서울특별시 성동구 상원6길 5,춘천***,한식-육류/고기25,서울 성동구,한식-육류/고기,뚝섬,20000318,,1120066000.0,204306.92999998614,449899.9800000177
98BA99BFE9,서울특별시 성동구 상원8길 1,가든***,,서울 성동구,축산물,뚝섬,20090717,,1120066000.0,204265.33000003514,449934.8200000226
98BA99BFE9,서울특별시 성동구 상원8길 1,가든***,,서울 성동구,축산물,뚝섬,20090717,,1120066000.0,204265.33000003514,449934.8200000226
54529B6426,서울특별시 성동구 상원길 52,둘둘***********,치킨14,서울 성동구,치킨,뚝섬,20101101,,1120066000.0,204273.56000001958,449900.19000001735
54529B6426,서울특별시 성동구 상원길 52,둘둘***********,치킨14,서울 성동구,치킨,뚝섬,20101101,,1120066000.0,204273.56000001958,449900.19000001735
3DD6585AD5,서울특별시 성동구 상원길 54,이흥***,,서울 성동구,한식-육류/고기,뚝섬,19990205,,1120066000.0,204268.59999996854,449914.9000000238
3DD6585AD5,서울특별시 성동구 상원길 54,이흥***,,서울 성동구,한식-육류/고기,뚝섬,19990205,,1120066000.0,204268.59999996854,449914.9000000238
2B89D787CB,서울특별시 성동구 상원길 60,왕짜*,중식당3,서울 성동구,중식당,뚝섬,20181205,,1120066000.0,204251.9099999867,449983.21000002057
2B89D787CB,서울특별시 성동구 상원길 60,왕짜*,중식당3,서울 성동구,중식당,뚝섬,20181205,,1120066000.0,204251.9099999867,449983.21000002057
3B0F367222,서울특별시 성동구 성수동2가,맛닭******,치킨18,서울 성동구,치킨,성수,20000906,,1120069000.0,205039.19999999067,449051.9999999958
